timestamp,frame_id,cctv_name,event_message
2026-04-22 11:15:21,5121,[수원광명선] 광명 구봉산터널,[11:09:42] 상태 변경: NORMAL → CONGESTION
2026-04-22 11:15:21,5121,[수원광명선] 광명 구봉산터널,[11:10:43] 상태 변경: CONGESTION → JAM
2026-04-22 11:15:21,5121,[수원광명선] 광명 구봉산터널,[11:10:48] 상태 변경: JAM → CONGESTION
2026-04-22 11:15:25,5160,[수원광명선] 광명 구봉산터널,[11:09:35] 상태 변경: NORMAL → JAM
2026-04-22 11:15:25,5160,[수원광명선] 광명 구봉산터널,[11:09:35] ROI 자동설정 정상 복귀
2026-04-22 11:15:25,5160,[수원광명선] 광명 구봉산터널,[11:09:36] 상태 변경: JAM → CONGESTION
2026-04-22 11:15:25,5160,[수원광명선] 광명 구봉산터널,[11:09:36] 상태 변경: CONGESTION → NORMAL
2026-04-22 11:15:25,5160,[수원광명선] 광명 구봉산터널,[11:09:41] 차선 bootstrap 완료
2026-04-22 11:15:25,5160,[수원광명선] 광명 구봉산터널,[11:09:42] 상태 변경: NORMAL → CONGESTION
2026-04-22 11:15:25,5160,[수원광명선] 광명 구봉산터널,[11:10:43] 상태 변경: CONGESTION → JAM
2026-04-22 11:15:25,5160,[수원광명선] 광명 구봉산터널,[11:10:48] 상태 변경: JAM → CONGESTION
2026-04-22 11:15:28,5201,[수원광명선] 광명 구봉산터널,[11:09:35] 상태 변경: NORMAL → JAM
2026-04-22 11:15:28,5201,[수원광명선] 광명 구봉산터널,[11:09:35] ROI 자동설정 정상 복귀
2026-04-22 11:15:28,5201,[수원광명선] 광명 구봉산터널,[11:09:36] 상태 변경: JAM → CONGESTION
2026-04-22 11:15:28,5201,[수원광명선] 광명 구봉산터널,[11:09:36] 상태 변경: CONGESTION → NORMAL
2026-04-22 11:15:28,5201,[수원광명선] 광명 구봉산터널,[11:09:41] 차선 bootstrap 완료
